dataset,scope,air_var,alt,best_lag_min,pearson_r,N,p_value,decision,p_source,mean_diff,mean_voice,mean_silent
AIRQ001_NOISE102,OCCDAILY:ALL,HUM,greater,,,1390,0.1008771887891156,Fail to reject H0,HAC,0.6956626699732595,67.58237697732037,66.8867143073471
AIRQ001_NOISE102,OCCDAILY:VENT_OFF,HUM,greater,,,1067,0.0392208410226669,Reject H0,HAC,1.0546811140152954,67.75589919816724,66.70121808415195
AIRQ001_NOISE102,OCCDAILY:ALL,TEMP,greater,,,1390,0.9882729160094706,Fail to reject H0,HAC,-0.4308874774269746,25.046297682709444,25.47718516013642
AIRQ001_NOISE102,OCCDAILY:VENT_OFF,TEMP,greater,,,1067,0.9729704011627908,Fail to reject H0,HAC,-0.3768383163186293,24.912100262785525,25.288938579104155
AIRQ001_NOISE102,OCCDAILY:ALL,dCO2,greater,,,1342,0.0954911947161231,Fail to reject H0,HAC,2.420151269583999,1.9166666666666567,-0.5034846029173417
AIRQ001_NOISE102,OCCDAILY:VENT_OFF,dCO2,greater,,,1027,0.0011399485716602,Reject H0,HAC,2.785893042692568,5.904315789473681,3.1184227467811128
AIRQ002_NOISE102,FULL,CO2,greater,10.0,0.1333554454830184,3277,8.92136233493064e-15,Reject H0,,,,
AIRQ002_NOISE102,FULL,dCO2,greater,3.0,0.0876246933879881,3225,3.117614901362896e-07,Reject H0,,,,
AIRQ002_NOISE102,FULL,PM25,greater,0.0,0.0418466330150298,1974,0.0315227308253937,Reject H0,,,,
AIRQ002_NOISE102,FULL,TEMP,two-sided,2.0,-0.1629916038492324,3342,2.482613454460757e-21,Reject H0,,,,
AIRQ002_NOISE102,FULL,HUM,two-sided,7.0,0.0749518936091634,3337,1.4628837126165704e-05,Reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,CO2,greater,10.0,0.0944354833652897,1410,0.0001920003391502,Reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,PM1,greater,0.0,-0.0025015068842719,855,0.5291121102514112,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,PM25,greater,0.0,-0.0017754906552444,855,0.5206719547034806,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,PM10,greater,0.0,-0.0028401205732135,855,0.5330443671178414,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,HUM,greater,9.0,0.1161101291528072,1437,5.107320187547379e-06,Reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,TEMP,greater,8.0,0.0121052702785413,1438,0.3232387361775767,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW,dCO2,greater,3.0,0.0756891253525777,1392,0.0023607761564805,Reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,CO2,greater,10.0,0.0793006813553996,1356,0.0017385645842097,Reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,PM1,greater,0.0,0.0210288886493216,822,0.2735675180685422,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,PM25,greater,0.0,0.024004834466329,822,0.2459520959976884,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,PM10,greater,0.0,0.0234519697041959,822,0.2509669998722805,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,HUM,greater,9.0,0.1815373130970092,1382,5.261552690600407e-12,Reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,TEMP,greater,8.0,-0.0690112781865986,1383,0.9948735416545458,Fail to reject H0,,,,
AIRQ002_NOISE102,OCCDAILY,dCO2,greater,3.0,0.090823754070643,1338,0.0004405346495676,Reject H0,,,,
AIRQ002_NOISE102,OCCWINDOW:ALL,CO2,greater,,,1420,0.1229825838873594,Fail to reject H0,HAC,98.68713988593116,1537.93512605042,1439.2479861644888
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,CO2,greater,,,1165,0.0671417763655113,Fail to reject H0,HAC,141.67113342318066,1545.7931428571428,1404.122009433962
AIRQ002_NOISE102,OCCWINDOW:ALL,PM1,greater,,,855,0.5961292631867403,Fail to reject H0,HAC,-0.6540100090991814,7.574142857142858,8.22815286624204
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,PM1,greater,,,696,0.9871625541395124,Fail to reject H0,HAC,-3.623628225381778,4.837777777777778,8.461406003159556
AIRQ002_NOISE102,OCCWINDOW:ALL,PM25,greater,,,855,0.5909365888690747,Fail to reject H0,HAC,-1.1273521383075522,13.206571428571428,14.33392356687898
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,PM25,greater,,,696,0.9914946494391736,Fail to reject H0,HAC,-6.69600240728203,8.046825396825396,14.742827804107426
AIRQ002_NOISE102,OCCWINDOW:ALL,PM10,greater,,,855,0.5947738587098379,Fail to reject H0,HAC,-1.3080636942675152,14.292,15.600063694267517
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,PM10,greater,,,696,0.9917531635597724,Fail to reject H0,HAC,-7.498086210787635,8.543809523809523,16.04189573459716
AIRQ002_NOISE102,OCCWINDOW:ALL,HUM,greater,,,1446,0.0484370619355192,Reject H0,HAC,0.9679235917677004,67.06160224426401,66.09367865249631
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,HUM,greater,,,1187,0.0571984440465381,Fail to reject H0,HAC,1.0096262555154,67.07461385866075,66.06498760314535
AIRQ002_NOISE102,OCCWINDOW:ALL,TEMP,greater,,,1446,0.78555077129653,Fail to reject H0,HAC,-0.1149840241753636,24.548537567159265,24.66352159133463
