air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
CO2,snr_mean,10,3277,0.22021914578332485,2.7920192251950946e-37,3.4305595917323944e-09,705.4757558037296,0.9997414468811602,0.6458769492849783,0.22021914578332485
CO2,snr_mean,9,3278,0.21965420656103585,4.187198170919846e-37,3.6749763305416495e-09,705.9993219627104,0.9997415317258486,0.6457495151418223,0.21965420656103585
CO2,snr_mean,8,3279,0.2185268317676649,9.606682125896044e-37,4.433005338796672e-09,706.2196379186818,0.9997415528883843,0.6457474607276056,0.2185268317676649
CO2,snr_mean,7,3280,0.21684814174590822,3.3212490688547776e-36,5.850008718761407e-09,706.46970738077,0.9997416020610035,0.6457331043189694,0.21684814174590822
CO2,snr_mean,6,3281,0.21396706072044677,2.775192346018571e-35,9.1445986923354e-09,706.6716595031687,0.9997416549208665,0.6457386157357751,0.21396706072044677
CO2,snr_mean,5,3282,0.21183741820598234,1.2997970624306528e-34,1.2902834977684113e-08,706.8634599245959,0.9997417094911184,0.6457483117994424,0.21183741820598234
CO2,snr_mean,4,3283,0.20984502461428303,5.4239571684016496e-34,1.7748557234064515e-08,707.089560716299,0.999741751710729,0.6457438602262532,0.20984502461428303
CO2,snr_mean,3,3284,0.2078901351921949,2.1728069943824964e-33,2.4194513072524036e-08,707.3284457502214,0.9997417748833483,0.6457341515364529,0.2078901351921949
CO2,snr_mean,2,3285,0.2056130191930858,1.0797252038039121e-32,3.381728916320039e-08,707.6112539115428,0.9997418246970969,0.6457063240308856,0.2056130191930858
CO2,snr_mean,1,3286,0.2035964277531613,4.3879924870754293e-32,4.625996737441402e-08,707.7978681395513,0.9997418673086726,0.6457181627855473,0.2035964277531613
CO2,snr_mean,0,3287,0.2016795672562256,1.6403694201590569e-31,6.212487176574806e-08,707.9678454500255,0.9997418878311114,0.6457368634231854,0.2016795672562256
