air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
CO2_roll5,voice_rate_roll5,19,3324,0.22009440594293828,9.492635442649085e-38,0.026230588128098958,102.04102667242675,0.9998355755662532,0.9405867600944773,0.22009440594293828
CO2_roll5,voice_rate_roll5,18,3325,0.220093146238928,9.267506232560075e-38,0.026231468096651032,102.06873757307366,0.9998356135112868,0.940588416143233,0.220093146238928
CO2_roll5,voice_rate_roll5,20,3323,0.22004097696982353,1.014283589551651e-37,0.02626793311011621,102.01335903428368,0.9998355116414336,0.940585102956298,0.22004097696982353
CO2_roll5,voice_rate_roll5,17,3326,0.2169138636607874,1.0362962524801498e-36,0.021603307116153138,111.83696092290485,0.9998356765586625,0.9350912578906627,0.2169138636607874
CO2_roll5,voice_rate_roll5,16,3327,0.21372308207327545,1.1262664784528169e-35,0.024302434936343927,110.66987115552634,0.9998356883621443,0.9357671960176581,0.21372308207327545
CO2_roll5,voice_rate_roll5,15,3328,0.2105064669192228,1.2020002576809652e-34,0.02728708799787704,109.528334262814,0.9998356967679385,0.9364288072473981,0.2105064669192228
CO2_roll5,voice_rate_roll5,14,3329,0.2073218135860764,1.2070427587315581e-33,0.03132415163690735,108.41147461275456,0.9998357297723057,0.9370765423075855,0.2073218135860764
CO2_roll5,voice_rate_roll5,13,3330,0.20419332400163673,1.122376974854114e-32,0.03488722141382274,107.3184977645735,0.9998357878637671,0.9377108332153061,0.20419332400163673
CO2_roll5,voice_rate_roll5,12,3331,0.20395624822981287,1.3011020092174038e-32,0.027406613889734126,116.69388647620757,0.9998357627209435,0.932459265522638,0.20395624822981287
CO2_roll5,voice_rate_roll5,11,3332,0.2035889065608199,1.6547665279889737e-32,0.027692225094013926,116.7255973447992,0.9998357300954867,0.9324611574569268,0.2035889065608199
CO2_roll5,voice_rate_roll5,10,3333,0.2030367485983435,2.399086527239033e-32,0.028126295959281632,116.7573668854031,0.999835662363297,0.9324630481497082,0.2030367485983435
CO2_roll5,voice_rate_roll5,9,3334,0.2022235324694348,4.1804156289220175e-32,0.028776124023771676,116.78920437015469,0.9998355539877802,0.9324649376021996,0.2022235324694348
CO2_roll5,voice_rate_roll5,8,3335,0.20111289634994192,8.961955451793036e-32,0.029684191488396856,116.82078860691824,0.9998355978292833,0.9324668258156241,0.20111289634994192
CO2_roll5,voice_rate_roll5,7,3336,0.1997754434811501,2.2420637355586786e-31,0.030809872291613614,116.85239953911515,0.9998356257404396,0.9324687127911996,0.1997754434811501
CO2_roll5,voice_rate_roll5,6,3337,0.1981046726298738,7.024038588582831e-31,0.032266717602027296,116.91332045294915,0.9998356419538992,0.9324542091519394,0.1981046726298738
CO2_roll5,voice_rate_roll5,5,3338,0.19623084321809203,2.505072215099311e-30,0.033969506009590866,116.94831963629696,0.999835658763018,0.9324542137663501,0.19623084321809203
CO2_roll5,voice_rate_roll5,4,3339,0.19416716850250032,1.003854400606696e-29,0.03593191700773379,116.9833169663286,0.9998356766733514,0.9324542183779982,0.19416716850250032
CO2_roll5,voice_rate_roll5,3,3340,0.192002967263539,4.2393294137623907e-29,0.03809154035406816,117.01831638675894,0.9998356933198971,0.9324542229868803,0.192002967263539
CO2_roll5,voice_rate_roll5,2,3341,0.18979684219262738,1.810618920486614e-28,0.04040407107081407,117.05332551452757,0.9998357041392527,0.9324542275930052,0.18979684219262738
CO2_roll5,voice_rate_roll5,1,3342,0.18772789705613427,6.948720451440487e-28,0.04267843115767227,117.11405227315562,0.9998357379720761,0.9324398422021017,0.18772789705613427
CO2_roll5,voice_rate_roll5,0,3343,0.18547594537891535,2.9575374284841165e-27,0.04527439670396702,117.25575810631143,0.9998357733149661,0.9323802365281968,0.18547594537891535
