,voice_rate,voice_rate_time,intensity_mean,voice_score_mean,snr_mean,sfm_mean,noiseRMS_mean,bandRMS_mean,frames,voice_frames,frame_period_s,coverage_s,coverage_rate,voice_seconds
TEMP,-0.20364116405366833,-0.20364116405366833,-0.2035981752634641,-0.6050934873984005,-0.6116225221052547,0.6539321035754379,-0.7081886950240469,-0.6577562338099532,0.027086928719765507,-0.20361149467719716,,0.027086928719765507,0.027086928719765507,-0.20361149467719716
HUM,0.0015507940192073365,0.0015507940192073365,0.00189118874446945,-0.19382073325487192,-0.17498130914508767,0.16333634655131637,-0.1503944846651225,-0.15918019114253132,-0.01855762780831447,0.0015020298643016253,,-0.01855762780831447,-0.01855762780831447,0.0015020298643016253
CO2,0.05216290308106956,0.05216290308106956,0.053118282760033615,0.22349774731103325,0.24537776662986027,-0.15782707318393707,0.20305592378782142,0.2128179613302812,-0.016312673123879472,0.05212875077389448,,-0.016312673123879472,-0.016312673123879472,0.05212875077389448
PRES,0.09207874139117993,0.09207874139117993,0.09211013509131113,0.40244897860260964,0.3891970928240952,-0.4295194765080861,0.49191120452258996,0.43653809677303435,-0.022215670428578315,0.09205244569120348,,-0.022215670428578315,-0.022215670428578315,0.09205244569120348
LLUM,0.23707335966037757,0.23707335966037757,0.2374064623708446,0.7734535455346865,0.7735869185530365,-0.797538120937731,0.8155372473291906,0.8022273550557038,-0.011760008892714464,0.2370672282562676,,-0.011760008892714464,-0.011760008892714464,0.2370672282562676
PM1,0.12031911480285926,0.12031911480285926,0.12007967076401532,0.37640502617763755,0.3648339742989605,-0.36932913916253673,0.2878656964144416,0.3341207379414483,-0.026590523005532926,0.12029803314782063,,-0.026590523005532926,-0.026590523005532926,0.12029803314782063
PM25,0.13491611293548614,0.13491611293548614,0.1347346420281745,0.4110224442230954,0.39977226579106273,-0.401542938232115,0.32323456114405696,0.3689487737337445,-0.023968560842571117,0.1348971643162852,,-0.023968560842571117,-0.023968560842571117,0.1348971643162852
PM10,0.13537839618753567,0.13537839618753567,0.1353246785150843,0.4168755850407238,0.40406468677109475,-0.40514590402346795,0.32908898892667454,0.37403512618724477,-0.024639888775536096,0.1353623622502609,,-0.024639888775536096,-0.024639888775536096,0.1353623622502609
