air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
PM25,voice_rate,0,1974,0.04184663301502989,0.06304546165078743,0.15293356522118748,1167.9557164254481,0.9720877897877345,0.26390848560731417,0.04184663301502989
PM25,voice_rate,1,1973,0.03597867368322892,0.11012715159055136,0.21958430109699104,1166.3366035247002,0.972089291007364,0.2643311272905241,0.03597867368322892
PM25,voice_rate,2,1972,0.02645875732107517,0.24022679698774252,0.36670141154731384,1165.7812588751412,0.9720890803309337,0.26431643009566813,0.02645875732107517
PM25,voice_rate,10,1964,0.020134990017717968,0.37247576799144344,0.5074318402437887,1086.4559252641366,0.9720922395575922,0.2959352560732102,0.020134990017717968
PM25,voice_rate,3,1971,0.015364283743131002,0.4954163819739819,0.6003597949842647,1165.2248317907922,0.9720905142085913,0.2643017173916557,0.015364283743131002
PM25,voice_rate,4,1970,0.011325253522115789,0.6154109055875231,0.6993840525093598,1164.6685988878244,0.972091658458292,0.264286989153923,0.011325253522115789
PM25,voice_rate,9,1965,0.010633019265694302,0.6375998332601746,0.7172924121755024,1161.8909308564957,0.9720921309137371,0.2642131140961588,0.010633019265694302
PM25,voice_rate,5,1969,0.007997307448287853,0.7228531867708471,0.785192310817049,1164.1129848287858,0.97209186797699,0.26427224535785604,0.007997307448287853
PM25,voice_rate,8,1966,0.004839643227372,0.8301941135872853,0.869103172339659,1162.4461692779557,0.9720924781192861,0.26422792037274007,0.004839643227372
PM25,voice_rate,6,1968,0.002431572055988977,0.9141532488964819,0.9339548972566482,1163.5573794223574,0.9720920680246367,0.26425748597879173,0.002431572055988977
PM25,voice_rate,7,1967,-0.0003321649203839738,0.9882536165601973,0.9909716754391447,1163.0019941597614,0.9720919371998662,0.2642427109920095,0.0003321649203839738
