,voice_rate,voice_rate_time,intensity_mean,voice_score_mean,snr_mean,sfm_mean,noiseRMS_mean,bandRMS_mean,frames,voice_frames,frame_period_s,coverage_s,coverage_rate,voice_seconds
TEMP,-0.15513673797125127,-0.1551364554594889,-0.12344811951587834,-0.7178625459740443,-0.2924297925696021,0.7380314185759189,-0.6914864358656895,-0.579396188908863,0.030916807427623,-0.15499810665648533,,0.030897873438813502,0.030897874668851476,-0.15499810672718545
HUM,0.05968553817420792,0.05968547003087558,0.05442349608120692,-0.08075589517404994,0.07555052897900477,0.035772520154114855,-0.000891622408802438,0.049202563924174825,-0.029239286030875316,0.05956267879696692,,-0.029244041264952354,-0.029244040957786512,0.05956267967885531
CO2,0.1207587588461036,0.12075884061903193,0.11203644736944006,0.2980268318346049,0.2016795672562256,-0.24918558564657853,0.26326257469953335,0.2671833103375581,-0.01731024793773267,0.12070694091648927,,-0.017317044430818728,-0.017317043990635553,0.12070694040673366
PRES,-0.00826541352028311,-0.008265435822834698,-0.00793043499314991,0.02318826276364723,-0.01097286341683007,-0.017122193213385477,-0.1062586012404662,-0.09130407578389474,-0.0037171427964327,-0.008282650846057343,,-0.0037154557789822115,-0.0037154558886242,-0.008282651372588974
LLUM,0.012742586763559589,0.012742596531546732,0.01056177563853352,0.14915483332998583,0.031166837753239685,-0.13859938335566713,0.122913391509127,0.08856443708715954,-0.0007710634476796685,0.01273934785040855,,-0.000774771438045321,-0.0007747711974812693,0.012739347801892112
PM1,0.0417041288790911,0.04170422862459646,0.037845983855439004,0.25172167019667846,0.0516716473276297,-0.2597274760705838,0.22363718539731636,0.1626825553510417,0.003313015012353233,0.041736181604474655,,0.0033084279585628806,0.0033084282562862843,0.04173618077888982
PM25,0.04184663301502989,0.04184673219987651,0.03768846599762562,0.24297005773310273,0.05226378899831095,-0.25038123970527554,0.21674991281054704,0.15892781044254428,0.0034838017003184386,0.04187891890067183,,0.0034785790312999464,0.0034785793702686524,0.04187891785756212
PM10,0.04059825207320449,0.04059834345215408,0.03648410232344469,0.24038113776241674,0.05151689190477216,-0.24762052800761544,0.21491695467407312,0.15738733784690126,0.003813900940928899,0.040631235572459,,0.0038090726723010847,0.0038090729856912215,0.04063123452023002
