air_var,noise_var,alt,H0,H1,best_lag_min,N,Neff,rho1_air,rho1_noise,pearson_r,p_two_sided,p_two_sided_adj,p_one_sided_gt,p_one_sided_gt_adj
CO2,voice_rate,greater,"During/after speaking, CO2 does not increase vs silent presence (Δ≤0)","During/after speaking, CO2 increases vs silent presence (Δ>0)",10,2736,616.3167407579081,0.9968914003051421,0.6342757017338576,0.05846916923216032,0.002216665157751739,0.14720935062453275,0.0011083325788758694,0.07360467531226637
PM1,voice_rate,greater,"During/after speaking, PM1 does not increase vs silent presence (Δ≤0)","During/after speaking, PM1 increases vs silent presence (Δ>0)",0,1653,593.9549983290592,0.947065773001752,0.49766820889176194,0.023462197924925467,0.3404306874934101,0.5682047446679972,0.17021534374670505,0.2841023723339986
PM25,voice_rate,greater,"During/after speaking, PM25 does not increase vs silent presence (Δ≤0)","During/after speaking, PM25 increases vs silent presence (Δ>0)",0,1653,591.7548802681603,0.9499634210715129,0.49766820889176194,0.026467600923486483,0.28216420447031565,0.5203953910042216,0.14108210223515782,0.2601976955021108
PM10,voice_rate,greater,"During/after speaking, PM10 does not increase vs silent presence (Δ≤0)","During/after speaking, PM10 increases vs silent presence (Δ>0)",0,1653,590.5045669504754,0.9516126689158949,0.49766820889176194,0.026822079779036844,0.2757663626108244,0.5151791192652455,0.1378831813054122,0.25758955963262276
HUM,voice_rate,greater,"During/after speaking, HUM does not increase vs silent presence (Δ≤0)","During/after speaking, HUM increases vs silent presence (Δ>0)",4,2791,976.2022207134789,0.7565593428511902,0.636746119468749,0.13708334825763946,3.5102555851384746e-13,1.7278570183768564e-05,1.7551277925692373e-13,8.639285091884282e-06
TEMP,voice_rate,greater,"During/after speaking, TEMP does not increase vs silent presence (Δ≤0)","During/after speaking, TEMP increases vs silent presence (Δ>0)",7,2788,728.8707379976879,0.9194260869302211,0.6368107444116485,-0.071995305274874,0.00014197941213560129,0.05200897248290701,0.9999290102939322,0.9739955137585465
dCO2,voice_rate,greater,"During/after speaking, CO2 change rate does not increase vs silent presence (Δ≤0)","During/after speaking, CO2 change rate increases vs silent presence (Δ>0)",9,2688,2688.0,-0.41570342788769943,0.6344894242527676,0.034049503237573206,0.0775606277856611,0.07756062778566136,0.03878031389283055,0.03878031389283068
