air_var,scope,N_voice,N_silent,mean_silent,mean_voice,mean_diff_voice_minus_silent,welch_p_two_sided,welch_p_one_sided_gt,hac_coef_voice,hac_p_two_sided,hac_p_one_sided_gt
CO2,ALL,216,2530,1542.1140355731227,1613.7012962962963,71.58726072317359,0.04560405320961537,0.022802026604807686,71.58726072317562,0.2676218396961054,0.1338109198480527
CO2,VENT_OFF,149,1760,1536.500596590909,1682.2214765100673,145.72087991915828,0.0007944745948527581,0.00039723729742637904,145.72087991915527,0.0504641739854993,0.02523208699274965
PM1,ALL,123,1530,6.605202614379085,7.361788617886178,0.7565860035070937,0.6619914856413981,0.33099574282069905,0.7565860035070654,0.7850192259314952,0.3925096129657476
PM1,VENT_OFF,81,1056,6.693702651515152,3.831111111111111,-2.862591540404041,0.00010691967965633838,0.9999465401601718,-2.862591540404065,0.0026082178952922413,0.9986958910523539
PM25,ALL,123,1530,11.08369934640523,12.860081300813006,1.7763819544077766,0.5795715382148953,0.28978576910744763,1.7763819544077275,0.7296452155442907,0.36482260777214537
PM25,VENT_OFF,81,1056,11.36442234848485,6.484197530864196,-4.880224817620653,0.000195325375336523,0.9999023373123317,-4.880224817620694,0.004125672957111627,0.9979371635214442
PM10,ALL,123,1530,12.007098039215686,14.091463414634145,2.084365375418459,0.5660598121790609,0.28302990608953044,2.0843653754184,0.7206152865883304,0.3603076432941652
PM10,VENT_OFF,81,1056,12.332310606060606,6.8587654320987665,-5.473545173961839,0.0001657003695489447,0.9999171498152255,-5.473545173961882,0.004312808480500809,0.9978435957597496
HUM,ALL,219,2576,66.26308772686848,67.3241244912762,1.0610367644077172,9.983776046093314e-05,4.991888023046657e-05,1.0610367644077594,0.017256144423491958,0.008628072211745979
HUM,VENT_OFF,152,1797,66.19288324009557,67.84649159676964,1.65360835667407,5.538267443640428e-06,2.769133721820214e-06,1.6536083566740363,0.004693146792539089,0.0023465733962695443
TEMP,ALL,219,2576,25.325164415383302,24.7213604912651,-0.6038039241182034,8.590825487029127e-12,0.9999999999957045,-0.603803924118193,4.928494912518717e-06,0.9999975357525437
TEMP,VENT_OFF,152,1797,25.242409719816024,24.65689826198914,-0.5855114578268825,3.1356179542290405e-08,0.9999999843219102,-0.5855114578269038,0.00023136118358057533,0.9998843194082098
dCO2,ALL,213,2484,0.171900161030597,0.4997183098591488,0.32781814882855176,0.8730255737352052,0.4365127868676026,0.3278181488285484,0.7983735017312927,0.39918675086564637
dCO2,VENT_OFF,146,1714,11.82171528588098,12.913219178082175,1.0915038922011941,0.5803769415161395,0.29018847075806975,1.0915038922011744,0.5825913854627229,0.29129569273136147
