air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
CO2,voice_rate,10,3278,0.13379644252262832,1.4480389736344104e-14,4.711153579700882e-08,1654.2885593616709,0.9996624548938056,0.32931157250904763,0.13379644252262832
CO2,voice_rate,9,3279,0.1332101343156462,1.8709419943318334e-14,5.3467287659297445e-08,1654.7630655150908,0.9996625068232985,0.3293196829393611,0.1332101343156462
CO2,voice_rate,7,3281,0.13242355927643035,2.6187190140918068e-14,6.351664239380155e-08,1655.711959203946,0.9996627102580229,0.3293358883762782,0.13242355927643035
CO2,voice_rate,8,3280,0.1324108636916245,2.65748602593445e-14,6.428658896028846e-08,1655.2375177341166,0.9996626037281431,0.32932778822680747,0.1324108636916245
CO2,voice_rate,6,3282,0.130929451077724,5.059971570133727e-14,8.860478559795855e-08,1656.550274500979,0.9996628135119611,0.3292460134396719,0.130929451077724
CO2,voice_rate,5,3283,0.12964236256434628,8.862331671516606e-14,1.1860271637619463e-07,1657.3856445253143,0.99966286998237,0.3291570133795581,0.12964236256434628
CO2,voice_rate,4,3284,0.1280408739140601,1.7704741165780352e-13,1.68366154867844e-07,1657.8603309290277,0.9996628712353476,0.32916512476699156,0.1280408739140601
CO2,voice_rate,3,3285,0.12641097708628132,3.550841371341087e-13,2.4157584279770273e-07,1658.335037171906,0.9996628571834877,0.329173231018507,0.12641097708628132
CO2,voice_rate,2,3286,0.12493686735376464,6.609093037840339e-13,3.308652937398436e-07,1658.8096199549027,0.9996629448460246,0.3291813321389798,0.12493686735376464
CO2,voice_rate,1,3287,0.12359785937995361,1.154210214382691e-12,4.4222285216114073e-07,1659.284219833134,0.9996630193967094,0.3291894281332794,0.12359785937995361
CO2,voice_rate,0,3288,0.12149834744019124,2.746760409998424e-12,6.821042149959981e-07,1660.8974439244053,0.9996630709124231,0.32889163242336444,0.12149834744019124
