air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
PM10,voice_rate,0,1974,0.04341183247504122,0.053797566990758106,0.1339846874094309,1192.8947210675042,0.9682062935923605,0.2547463941648603,0.04341183247504122
PM10,voice_rate,1,1973,0.036522034722362984,0.10485353383508392,0.20784841041501326,1191.3324723030435,0.9682072985681252,0.2551359225701904,0.036522034722362984
PM10,voice_rate,2,1972,0.028559556616438057,0.20490347618034857,0.32473164828706524,1190.7632459224212,0.9682092117455399,0.25512133179088226,0.028559556616438057
PM10,voice_rate,3,1971,0.019602469830715695,0.3844087963624863,0.49931468525742717,1190.1950110657922,0.9682095972677844,0.2551067256260837,0.019602469830715695
PM10,voice_rate,10,1964,0.01559509352342739,0.48973499517265795,0.6022781322023236,1119.4302311189044,0.9682106816862033,0.2828990807127964,0.01559509352342739
PM10,voice_rate,4,1970,0.014538838774642526,0.5189749825935258,0.616345323432262,1189.626274672089,0.9682107626182906,0.2550921040514419,0.014538838774642526
PM10,voice_rate,5,1969,0.010126078658447,0.6533920735069463,0.7272335268413415,1189.0585550466826,0.9682103587768521,0.25507746704256035,0.010126078658447
PM10,voice_rate,9,1965,0.006649700700873475,0.7683103468596504,0.8189758638835031,1186.7863061252633,0.9682108999235115,0.25501876417482333,0.006649700700873475
PM10,voice_rate,6,1968,0.0054871523949359974,0.8077969947956064,0.8501476240436447,1188.490502071245,0.9682104742742752,0.25506281457498603,0.0054871523949359974
PM10,voice_rate,7,1967,0.0025732279307556206,0.909196136393854,0.9294004481557179,1187.9222460950787,0.968210907966107,0.2550481466242153,0.0025732279307556206
PM10,voice_rate,8,1966,0.0024542617616076074,0.9133992475685333,0.9326848273210019,1187.3542323429085,0.9682109700573918,0.25503346316569636,0.0024542617616076074
