air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
PM25,voice_rate,0,1974,0.04538092141310604,0.04379755823258735,0.11751330629923291,1190.7019990120932,0.9715969691534124,0.2547463941648603,0.04538092141310604
PM25,voice_rate,1,1973,0.037303202896422624,0.09762516929023443,0.19865988180278815,1189.138717138496,0.9715981643584867,0.2551359225701904,0.037303202896422624
PM25,voice_rate,2,1972,0.029381018329772,0.1921711209587479,0.31141105330663266,1188.5701167792622,0.9716009491909149,0.25512133179088226,0.029381018329772
PM25,voice_rate,3,1971,0.020851967337159452,0.35483269228417286,0.4727362767952058,1188.0030136532741,0.9716014221399636,0.2551067256260837,0.020851967337159452
PM25,voice_rate,10,1964,0.01738308853641052,0.4413386019503126,0.5616697627348648,1117.106422764718,0.9716069299249785,0.2828990807127964,0.01738308853641052
PM25,voice_rate,4,1970,0.01600020951894198,0.4778536601802808,0.5818341755679071,1187.4333849149232,0.9716058119687734,0.2550921040514419,0.01600020951894198
PM25,voice_rate,5,1969,0.01151825679341287,0.6094933689953254,0.6917863554918497,1186.8665694511699,0.9716058491294489,0.25507746704256035,0.01151825679341287
PM25,voice_rate,9,1965,0.00846508284340533,0.7076523974178521,0.7709761818290565,1184.5986267943397,0.9716070908745256,0.25501876417482333,0.00846508284340533
PM25,voice_rate,6,1968,0.007118098557764288,0.7523232189763297,0.8065492027930191,1186.2995021426093,0.9716062804292188,0.25506281457498603,0.007118098557764288
PM25,voice_rate,7,1967,0.0035675805602899294,0.8743581131240286,0.9023189851846625,1185.732374421109,0.9716068094505875,0.2550481466242153,0.0035675805602899294
PM25,voice_rate,8,1966,0.0035386897677340675,0.875398702061195,0.9031468515854011,1185.165536457085,0.9716068926660112,0.25503346316569636,0.0035386897677340675
