air_var,noise_var,alt,H0,H1,best_lag_min,N,Neff,rho1_air,rho1_noise,pearson_r,p_two_sided,p_two_sided_adj,p_one_sided_gt,p_one_sided_gt_adj
CO2,voice_rate,greater,"During/after speaking, CO2 does not increase vs silent presence (Δ≤0)","During/after speaking, CO2 increases vs silent presence (Δ>0)",10,1410,636.1586977411196,0.9971943063199233,0.37925629792084076,0.09443548336528973,0.0003840006783005017,0.017208938848375058,0.00019200033915025086,0.008604469424187529
PM1,voice_rate,greater,"During/after speaking, PM1 does not increase vs silent presence (Δ≤0)","During/after speaking, PM1 increases vs silent presence (Δ>0)",0,855,517.4017480597366,0.975008290686927,0.25229614695052355,-0.002501506884271913,0.9417757794971775,0.9547517018635459,0.5291121102514112,0.5226241490682271
PM25,voice_rate,greater,"During/after speaking, PM25 does not increase vs silent presence (Δ≤0)","During/after speaking, PM25 increases vs silent presence (Δ>0)",0,855,518.2841099182147,0.9718351409849071,0.25229614695052355,-0.00177549065524444,0.9586560905930387,0.967844473906357,0.5206719547034806,0.5160777630468215
PM10,voice_rate,greater,"During/after speaking, PM10 does not increase vs silent presence (Δ≤0)","During/after speaking, PM10 increases vs silent presence (Δ>0)",0,855,518.4509684999141,0.9712355425573725,0.25229614695052355,-0.0028401205732135116,0.9339112657643172,0.9485848323976968,0.5330443671178414,0.5257075838011516
HUM,voice_rate,greater,"During/after speaking, HUM does not increase vs silent presence (Δ≤0)","During/after speaking, HUM increases vs silent presence (Δ>0)",9,1437,677.9696157365802,0.96698244394122,0.37113886847235744,0.11611012915280727,1.0214640375094758e-05,0.0024618270659883634,5.107320187547379e-06,0.0012309135329941817
TEMP,voice_rate,greater,"During/after speaking, TEMP does not increase vs silent presence (Δ≤0)","During/after speaking, TEMP increases vs silent presence (Δ>0)",8,1438,719.0987295102199,0.9697373127469797,0.343672768739877,0.012105270278541353,0.6464774723551535,0.7459077904410696,0.32323873617757676,0.3729538952205348
dCO2,voice_rate,greater,"During/after speaking, CO2 change rate does not increase vs silent presence (Δ≤0)","During/after speaking, CO2 change rate increases vs silent presence (Δ>0)",3,1392,893.1610768493885,0.6456541084262443,0.3380987740807793,0.07568912535257773,0.004721552312961035,0.023703379057101917,0.0023607761564805175,0.011851689528550959
