lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,1585,714.593102144423,-0.020866453163514626,0.7111964924763794,-0.5571395772674678,712.593102144423,0.9626355535786478,0.3931963060604946,0.24151732194991232,6.07035962820074e-11,voice_rate_time,0.9085899764787129
1,1583,937.6004858062062,-0.043542048387679624,0.9085899764787129,-1.3331105267510956,935.6004858062062,0.9626252155093692,0.2659912711417966,0.24026277442762886,8.879385703962933e-14,voice_rate_time,0.9085899764787129
2,1584,768.8279242483279,-0.02171793147936157,0.7261733834140407,-0.6015474137960387,766.8279242483279,0.9625295375531197,0.35995239084999736,0.2438046758277881,7.240592284608995e-12,voice_rate_time,0.9085899764787129
3,1584,947.7869704255681,-0.027650382807968332,0.8024175108732599,-0.8506754386365674,945.7869704255681,0.9626584796893386,0.26103765416004376,0.22232838416829995,4.439910076281237e-12,voice_rate_time,0.9085899764787129
4,1582,642.1866315765342,-0.04232525541014799,0.8579089053731532,-1.0718703072033402,640.1866315765342,0.9626152136048746,0.43895264579798576,0.2458268421165881,2.708433232823412e-10,voice_rate_time,0.9085899764787129
5,1582,671.3390088383854,-0.027166128101114656,0.7588780363304961,-0.7030903316593533,669.3390088383854,0.9595141526627256,0.4211907391754461,0.21944914640692698,9.161874682808892e-09,voice_rate_time,0.9085899764787129
6,1581,899.8307598963827,-0.020370089540597606,0.7291549298530098,-0.6104924538418336,897.8307598963827,0.9626928786152078,0.28521353459880044,0.22960233183203432,3.142788670039567e-12,voice_rate_time,0.9085899764787129
7,1581,740.070032239301,-0.0209572029126862,0.7153977086246439,-0.5694787162579452,738.070032239301,0.9603724915418039,0.37725228006497474,0.22798818208703023,3.50589163419456e-10,voice_rate_time,0.9085899764787129
8,1579,983.6567291948826,-0.008550702737264267,0.6055895988096919,-0.26791529625713384,981.6567291948826,0.9626242971487396,0.24133493512823845,0.21824884735316058,4.520069621462311e-12,voice_rate_time,0.9085899764787129
9,1579,546.8452889155982,-0.03877312059456537,0.8172578425170718,-0.9057201940977536,544.8452889155982,0.9606966959725465,0.5053902358431517,0.23322438769937395,3.435089678563913e-08,voice_rate_time,0.9085899764787129
10,1579,729.0232425905907,-0.019072863258658052,0.6964224536651955,-0.5143622053403019,727.0232425905907,0.9626630815925248,0.3825538308437769,0.21438229898280795,5.017530573565987e-09,voice_rate_time,0.9085899764787129
