lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,3204,1420.285923875641,0.09598260386102377,0.0001459146192751391,3.6314845394565802,1418.285923875641,0.9997089809831309,0.3858397493847444,0.03416495222427773,0.1981620337239347,voice_rate_time,0.0001459146192751391
1,3203,1418.847361558966,0.10250235864198268,5.490963699282914e-05,3.878724828505577,1416.847361558966,0.9997118540837544,0.38613713160644714,0.037678411447356494,0.15604256611078846,voice_rate_time,8.628657241730295e-05
2,3205,1414.3383014523847,0.10146631439952472,6.607730295881843e-05,3.8329968517484967,1412.3383014523847,0.999712455791756,0.3877561295916069,0.04041334761688645,0.12872991980181062,voice_rate_time,8.771982787801945e-05
3,3201,1415.6267911533423,0.10088115897163874,7.17707682638341e-05,3.8124019053981377,1413.6267911533423,0.999711427970217,0.3868384097578427,0.03435985988257818,0.1963492098384898,voice_rate_time,8.771982787801945e-05
4,3202,1469.4610679634968,0.09791070208437701,8.526084629400838e-05,3.768818163984379,1467.4610679634968,0.9997107644290544,0.3709846156676896,0.034882446033999745,0.18140654763843783,voice_rate_time,9.378693092340921e-05
5,3200,1499.8000796864987,0.10322059611357787,3.103256986820484e-05,4.016236643743068,1497.8000796864987,0.9997120339090457,0.36186425644314385,0.04322056824075121,0.09428790059445279,voice_rate_time,6.392322236769417e-05
6,3199,1516.7670775715912,0.10193934977397587,3.486721220056046e-05,3.988256742846887,1514.7670775715912,0.9997113223271159,0.35682820166114987,0.03665660164075416,0.15360313752978744,voice_rate_time,6.392322236769417e-05
7,3198,1479.4400574991594,0.10538243286838203,2.440397681109679e-05,4.073316582866049,1477.4400574991594,0.9997118117298591,0.36752055247261095,0.043401889303191214,0.09516427035737696,voice_rate_time,6.392322236769417e-05
8,3195,1482.5624167592853,0.11118545694686778,8.901929295981179e-06,4.304894327632549,1480.5624167592853,0.999708131959331,0.36620303105427987,0.05050863798106427,0.05184865384181885,voice_rate_time,3.264040741859766e-05
9,3194,1442.2375254637288,0.11696261795781406,4.227874037059296e-06,4.469462293931184,1440.2375254637288,0.999711247214182,0.377950533661788,0.05154369018429675,0.05033944387411623,voice_rate_time,2.3253307203826128e-05
10,3196,1450.5585900734152,0.1208381272900752,1.963409985638744e-06,4.633041052299224,1448.5585900734152,0.9997125230452336,0.3757497714820037,0.05371099586852383,0.04081931328062322,voice_rate_time,2.1597509842026185e-05
