lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,2719,1081.0581137926968,-0.18835477944297832,4.3260344041699514e-10,-6.300033890357863,1079.0581137926968,0.9927802067237188,0.4341653306126052,-0.21228356556033165,1.7608677061626083e-12,7.242346811095197e-10
1,2716,1093.394834691884,-0.19167739796764938,1.656737622458428e-10,-6.451937322058631,1091.394834691884,0.9927105497501989,0.4290760049442483,-0.21153284180025494,1.5858087155879187e-12,6.273031559418116e-10
2,2716,1108.8634396129428,-0.19122421500478762,1.3641833353979508e-10,-6.481553074570063,1106.8634396129428,0.9929414422027271,0.42316838083349784,-0.2106750167242148,1.368824762751679e-12,6.273031559418116e-10
3,2716,1109.7747744479832,-0.18721374016704942,3.2716353610692313e-10,-6.3432353000217265,1107.7747744479832,0.9927104307058964,0.4229260709472223,-0.20609294125312355,4.136232159426461e-12,7.197597794352309e-10
4,2713,1103.8934301181184,-0.18497721707950587,5.925556481805162e-10,-6.248102757267856,1101.8934301181184,0.9927446052859675,0.42465597389509663,-0.20671099160188502,4.0563439450967895e-12,7.242346811095197e-10
5,2713,1100.0624728528567,-0.19096084287990864,1.7108267889322137e-10,-6.446505171567656,1098.0624728528567,0.9927276136687053,0.4261019516073804,-0.21052050201421912,1.7431154447493361e-12,6.273031559418116e-10
6,2712,1105.381047883696,-0.18901579487661713,2.3837281550966243e-10,-6.393826498293795,1103.381047883696,0.9926857441958736,0.423970449519511,-0.2078333790023084,2.9853914380464975e-12,6.555252426515717e-10
7,2712,1105.232696535775,-0.18488821456710042,5.898167199913371e-10,-6.24878402730601,1103.232696535775,0.9928159893103469,0.42397044951951113,-0.20472200250968298,6.36683468204086e-12,7.242346811095197e-10
8,2711,1106.37383558763,-0.18550364228483116,5.057110616811898e-10,-6.273566069749979,1104.37383558763,0.9926779133169219,0.42344871348899304,-0.20462242035194733,6.360690921074692e-12,7.242346811095197e-10
9,2709,1091.5788702735088,-0.1833702683374111,1.039267810594643e-09,-6.157229425510421,1089.5788702735088,0.9928070081117004,0.42865562659415457,-0.20637503018761055,5.7840969983491905e-12,1.1431945916541073e-09
10,2708,1073.660388800408,-0.18180484149296394,1.9696754312092527e-09,-6.052470739167151,1071.660388800408,0.9926962979725709,0.4353548429048332,-0.20601118527695825,9.381067997022255e-12,1.9696754312092527e-09
