lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,1603,739.4272103931085,0.034846677089054284,0.3440213709014055,0.9468578637756424,737.4272103931085,0.9645047667038407,0.3822332534437813,0.09697040209509444,0.008324456479860236
-9,1606,703.3349234461001,0.003471550709918077,0.9267745939752885,0.0919366898811253,701.3349234461001,0.9644889759947655,0.40526812662460826,0.05566330881488371,0.14028395395320273
-8,1605,761.8062256458242,-0.00018121608575753128,0.9960157779643725,-0.004995145884900362,759.8062256458242,0.9645019985625861,0.3693699464436759,0.10492432435146633,0.0037405656205920404
-7,1609,627.7991582659243,0.004231530795246525,0.9157298688925695,0.10585682926400224,625.7991582659243,0.9645201193943073,0.45479913522423066,0.06382018381322983,0.11015084950663376
-6,1607,823.4651274971576,-0.010914385411183922,0.7544830264392117,-0.3128381582287083,821.4651274971576,0.9645011336944405,0.33424598071104134,0.07906826408580318,0.02326491795561734
-5,1605,714.3817436822495,0.013912894401642024,0.7104665960501181,0.3713777805397336,712.3817436822495,0.9644920768430063,0.3981261411587241,0.09271381734880016,0.013173302690091046
-4,1610,804.3109959390289,-0.015630423009139745,0.6580389387266294,-0.44278730565337127,802.3109959390289,0.964530119131996,0.34598592391527844,0.05464801983558076,0.12148141912977155
-3,1607,678.3586913681714,0.016387383575393637,0.6700669632732045,0.42624223342050627,676.3586913681714,0.9644916174306774,0.4213035977841437,0.1002416205966415,0.008985815965058973
-2,1612,700.0425343641718,0.0034269065398722614,0.9278832106319252,0.09054109734086964,698.0425343641718,0.9645025484176148,0.4089548697298727,0.05763476018053135,0.1276436281329397
-1,1611,677.6910494184829,-0.01873922492547276,0.6262788348702695,-0.4871940475957392,675.6910494184829,0.9644757653283014,0.42281164508616886,0.05839401056554277,0.12885519684785046
