lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,1578,725.8130727232466,-0.002948681635035604,0.9367912684991919,-0.07933101013525484,723.8130727232466,0.9622163053725907,0.38442791610355304,0.2839253091368163,6.337459947926285e-15
-9,1579,834.7378906742392,-0.021848381939886027,0.5284531343503075,-0.6306336240307205,832.7378906742392,0.9622160025420872,0.3204521768362166,0.27470059865181334,6.441388597131365e-16
-8,1579,711.6733796364516,-0.03631525293219924,0.3333412838801598,-0.9680658344181505,709.6733796364516,0.9621540721756641,0.3935273173662205,0.2738805146468806,1.0364798892309845e-13
-7,1580,798.2382033060261,-0.02467529210709175,0.4863241028326989,-0.6964918883849477,796.2382033060261,0.9623438799574107,0.3415771443727369,0.26153573582071166,5.972087644429092e-14
-6,1579,889.9958071965677,-0.028430710881055858,0.39691326720978226,-0.8475567144544833,887.9958071965677,0.9621823260205742,0.29003081105236755,0.2744392358152403,7.661214319183711e-17
-5,1581,772.9576615800613,-0.016501656251252928,0.6469023841489421,-0.4582494354770148,770.9576615800613,0.9621702985723044,0.3567660524433928,0.26815177459847733,3.3918164995655646e-14
-4,1580,929.7223346751803,-0.03703652508168039,0.2592517628243008,-1.1288527752445316,927.7223346751803,0.9621980207996305,0.2692828549051938,0.2517465661336057,6.617106153492352e-15
-3,1584,727.1262926230577,-0.019028381358445763,0.6084626012422455,-0.5124922612842939,725.1262926230577,0.9622450883250908,0.3853074760772293,0.26034045897879093,9.93490807772959e-13
-2,1583,783.896576024542,-0.032907570733815394,0.357504751303775,-0.9206737420319028,781.896576024542,0.9621984854511505,0.35088034484406494,0.23858512764281467,1.3125682129221318e-11
-1,1583,664.7056710012673,-0.03186504158445735,0.412100445881907,-0.8207207851057451,662.7056710012673,0.9621919326210707,0.4246007429046578,0.26446919038768835,4.2252892631582714e-12
