lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,1921,947.7324416899978,0.04501369670023113,0.08308258063412033,1.385700140836725,945.7324416899978,0.9673330394095009,0.3507245617408838,0.15689222338354925,1.2118962282106684e-06,0.18278167739506473
1,1925,992.0307682982758,0.01590661401131241,0.3083956733206756,0.5005610329847535,990.0307682982758,0.9673422149819333,0.3306329793312888,0.1442688910290348,5.063841037364344e-06,0.3769280451697146
2,1920,930.4384666529182,0.03388968061161644,0.15088457473465902,1.0332218407801677,928.4384666529182,0.9672981079021383,0.35889780020810447,0.14329276947411976,1.1457794542848392e-05,0.21577434447421276
3,1924,973.6828044082391,0.0449106413573492,0.0807127726987109,1.4013607086777933,971.6828044082391,0.9673581056290265,0.3390240198930301,0.13102901594346486,4.11269123247188e-05,0.18278167739506473
4,1920,879.702037567681,0.00018689112332322382,0.49779175946595633,0.005536843334226651,877.702037567681,0.9673054207049324,0.3841336146683884,0.12125877674508248,0.0003125101060017807,0.5388502998455624
5,1918,955.8852226219785,0.04497027393656106,0.08237878868310936,1.3903149110127573,953.8852226219785,0.964958245987584,0.34693566223732275,0.15740701324393233,1.0044439022945386e-06,0.18278167739506473
6,1921,1051.9856231247363,0.03108201129932915,0.15692679598124565,1.0076522425349612,1049.9856231247363,0.9673556322973742,0.30216766443706466,0.13330761941918876,1.4379988421984366e-05,0.21577434447421276
7,1915,922.846762340384,0.038751116364313776,0.11978887380279007,1.1768042419071432,920.846762340384,0.9648464383007093,0.3623527946403702,0.1340165218946473,4.424311728717451e-05,0.21577434447421276
8,1921,1028.5143645530045,0.059520599995619046,0.02818115326630114,1.9103831100637088,1026.5143645530045,0.967354688609388,0.3127987280049242,0.14665138301475844,2.3237336235827222e-06,0.18278167739506473
9,1918,777.862568465977,-0.0035028270678980787,0.5388502998455624,-0.09756942853017947,775.862568465977,0.9659364147471653,0.4378354446403457,0.127103877694668,0.0003798917046355257,0.5388502998455624
10,1914,865.7582551205223,0.050725442185834684,0.06793645220976599,1.492730485395136,863.7582551205223,0.9662243952851307,0.3902801146616776,0.1390165441264546,4.053197558660721e-05,0.18278167739506473
