lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,2691,1259.9720963051145,0.05457513489696697,0.05277904507900871,1.9385546470364508,1257.9720963051145,0.9031697659707776,0.4010280483581924,0.02741653253448705,0.33085335719305475,voice_rate_time,0.05277904507900872
1,2692,1296.5740371453214,0.060361292288958625,0.029752235048934803,2.175778060644245,1294.5740371453214,0.902093766989429,0.3878264804665517,0.022142831166122,0.42565601920987806,voice_rate_time,0.04240122569032668
2,2692,1294.4203150824894,0.0578853381554678,0.037311799129350724,2.0844874384538383,1292.4203150824894,0.9002153402718545,0.3894458519496998,0.025160418650615485,0.3657348306924074,voice_rate_time,0.04240122569032668
3,2692,1293.6504012105977,0.06462693839358565,0.020091045316227542,2.327528027397934,1291.6504012105977,0.9011911846780299,0.389313644634946,0.03335147546617937,0.2306297886929878,voice_rate_time,0.04240122569032668
4,2689,1300.6781650695466,0.05990671810147512,0.03074218484616766,2.1627533850211527,1298.6781650695466,0.8987582977462275,0.3871768455580063,0.037420507137811115,0.17741976325212938,voice_rate_time,0.04240122569032668
5,2688,1284.2084983890231,0.0704577322724077,0.011550303612089976,2.5292319158921868,1282.2084983890231,0.8975645539121697,0.3937357773324127,0.04148800629850474,0.13729230453656557,voice_rate_time,0.04120557061218642
6,2688,1312.8866858466733,0.05710906487423383,0.038546568809387886,2.0710805801517918,1310.8866858466733,0.8966962095614219,0.38329830762949035,0.03728389483674735,0.1769778136663308,voice_rate_time,0.04240122569032668
7,2687,1296.5444695459357,0.06755070776694463,0.01498384385897688,2.436023773658045,1294.5444695459357,0.899674953098245,0.3879732690670945,0.04063472479766522,0.14364530525625596,voice_rate_time,0.04120557061218642
8,2686,1256.0159453577612,0.08819696632614125,0.001755726829655499,3.135457400760825,1254.0159453577612,0.8977624257034823,0.40406514861565346,0.048941963619077884,0.08294813004817887,voice_rate_time,0.01931299512621049
9,2685,1317.7838978924635,0.059045130629099295,0.032092981442889586,2.145530736539793,1315.7838978924635,0.8957311376281967,0.38132681755687015,0.05110546490635861,0.06364680700995748,voice_rate_time,0.04240122569032668
10,2683,1320.6140615200202,0.07327932128250254,0.007720615733422482,2.6681453321431174,1318.6140615200202,0.8972019542150035,0.3792780729585645,0.05339924900193757,0.05236887915012219,voice_rate_time,0.04120557061218642
