lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,3257,1456.9285580102608,-0.17188764003433535,3.988959108160227e-11,-6.655456709281675,1454.9285580102608,0.9905849089548151,0.3854917057327393,-0.2085876129242387,8.728464342996243e-16,9.776873653184125e-11
1,3255,1418.2902739191675,-0.16853247024594245,1.690529827331243e-10,-6.434527828582142,1416.2902739191675,0.990358191249603,0.39684916459224373,-0.2024897136781527,1.3717102388431336e-14,1.8595828100643674e-10
2,3255,1415.2180713018777,-0.1692296064601674,1.4845779650477316e-10,-6.454915007640638,1413.2180713018777,0.9904061130969306,0.3977552094724913,-0.20419005706952914,8.725222283324752e-15,1.814484179502783e-10
3,3252,1401.1926712509057,-0.16493955522182055,5.258897485398232e-10,-6.255368917391941,1399.1926712509057,0.9905645824833228,0.40153867294176787,-0.2040399465211683,1.2368514284485945e-14,5.258897485398232e-10
4,3253,1420.7106524513158,-0.17380389039471641,4.2364439781963237e-11,-6.64763342920064,1418.7106524513158,0.9903281540104124,0.39587047214642973,-0.20900127279704506,1.7363025732314655e-15,9.776873653184125e-11
5,3252,1429.7677739467879,-0.168774710334453,1.3423361679518525e-10,-6.47010579484163,1427.7677739467879,0.9903538112722612,0.3930098883943748,-0.2074888198188693,2.278516216781296e-15,1.814484179502783e-10
6,3250,1429.3977700027535,-0.1693387376552445,1.1695063055624392e-10,-6.491524155754964,1427.3977700027535,0.9903452026662682,0.39286062609259714,-0.20570985240364306,4.007419375519022e-15,1.814484179502783e-10
7,3248,1427.7525077130972,-0.1738889257821194,3.7104329232908086e-11,-6.66747309444425,1425.7525077130972,0.9903691472483608,0.39308079301870164,-0.2095926550120554,1.227275097940378e-15,9.776873653184125e-11
8,3247,1405.1437461966502,-0.1731601793973382,6.378067240790929e-11,-6.585818547724546,1403.1437461966502,0.9903764005027693,0.39976275042223475,-0.20856872171367,2.8271205768206507e-15,1.1693123274783372e-10
9,3247,1432.87212045695,-0.17289116690503506,4.4440334787200566e-11,-6.639922787465659,1430.87212045695,0.9903340323998432,0.391428287714597,-0.21145875777824677,6.012469001799682e-16,9.776873653184125e-11
10,3246,1434.0899368381201,-0.1786102076649143,9.570895633458424e-12,-6.869603515625377,1432.0899368381201,0.9904011114498107,0.39090508422186826,-0.21241014688656212,4.3011101497046886e-16,9.776873653184125e-11
