lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,1921,947.021298053932,0.04717869776148345,0.07342418979227767,1.4519465155954383,945.021298053932,0.9682798783055772,0.3507245617408838,0.148343600790556,4.552025280470075e-06,0.16990126592669857
1,1925,991.3282217972579,0.017454812653201122,0.2915303159658972,0.5491001460695516,989.3282217972579,0.9683038543258816,0.3306329793312888,0.13412909004118997,2.2659262892239856e-05,0.3563148306249854
2,1920,929.7345174882008,0.035179796105337544,0.14195546919005364,1.0721957650266494,927.7345174882008,0.9682253340128725,0.35889780020810447,0.13588946223620604,3.221667487355739e-05,0.20970166547723404
3,1924,972.9771013362365,0.04824554256067489,0.06631073863893007,1.5051081827794635,970.9771013362365,0.9683122864790888,0.3390240198930301,0.12442836830255094,9.967379741140541e-05,0.16990126592669857
4,1920,878.9527567973594,0.001120087538010915,0.48677344101904496,0.03316960781483455,876.9527567973594,0.968261262720787,0.3841336146683884,0.11435101892117167,0.000682528381929055,0.5265294093882239
5,1918,954.804901115169,0.04611912649140749,0.07722784814849935,1.4251002709488474,952.804901115169,0.9664050414034417,0.34693566223732275,0.1501538398046849,3.1604434360732746e-06,0.16990126592669857
6,1921,1051.3324580899077,0.0316642716464142,0.15251030216526112,1.0262280538849862,1049.3324580899077,0.9682954467248187,0.30216766443706466,0.12463887046831255,5.071084979020001e-05,0.20970166547723404
7,1915,921.9712360557467,0.03990041090344435,0.11306777519356992,1.2111849780747377,919.9712360557467,0.9659958946255486,0.3623527946403702,0.12149401164719134,0.00021752510558276688,0.20729092118821155
8,1921,1027.835748952975,0.060480754493305595,0.02628595038364135,1.9406708341383492,1025.835748952975,0.9683130186954361,0.3127987280049242,0.14219646365331298,4.727566555252165e-06,0.16990126592669857
9,1918,777.0126966703546,-0.0023912393234701537,0.5265294093882239,-0.06657002105931223,775.0126966703546,0.9669612700069227,0.4378354446403457,0.12187505273977467,0.0006628769529165279,0.5265294093882239
10,1914,864.9585311634281,0.05126123692953644,0.0659806749748686,1.5078404741367617,862.9585311634281,0.9672398171639389,0.3902801146616776,0.1304095029624575,0.00011993613890510245,0.16990126592669857
