lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,1583,680.8986222552101,-0.020806437640875995,0.5878288253157238,-0.5422433291908845,678.8986222552101,0.9648247721350379,0.4129998798966967,0.2974387702500002,2.2410450801120676e-15
-9,1582,858.353852157215,-0.04229356656252133,0.21577115043343909,-1.2387672268848173,856.353852157215,0.9647648042966255,0.30736329218652675,0.29314535588873264,1.7973290969638356e-18
-8,1583,681.8634732975064,-0.02310427347224916,0.5469849958114228,-0.6025861097686325,679.8634732975064,0.9647979792091308,0.4123938507737307,0.2937783174381657,4.853297657874754e-15
-7,1584,759.7468995464378,-0.03426007606430943,0.3456554201419215,-0.9436380267168114,757.7468995464378,0.9648469205255977,0.364494906502313,0.28964339948585016,3.77146956859571e-16
-6,1585,956.7856332614452,-0.038894145613728746,0.2293813781624577,-1.202723821312986,954.7856332614452,0.9647985653471177,0.25617237488383454,0.2903201532914001,4.8828503434078405e-20
-5,1586,732.6638757252281,-0.02214565815145543,0.549517459778846,-0.5987615879457111,730.6638757252281,0.9649015536822781,0.3814163707585297,0.2864422420154093,2.6500095661471847e-15
-4,1584,971.306614240405,-0.0417768175544079,0.19329303026743416,-1.3018029770028676,969.306614240405,0.9648170279696795,0.24851649120978703,0.2846762933744885,1.4479711285180324e-19
-3,1587,597.8662526928589,-0.012622224759596179,0.7580852044229158,-0.30813774697212454,595.8662526928589,0.9648020780147288,0.46923665753228,0.2843712419195763,1.3854780304512272e-12
-2,1586,784.1824653065705,-0.038300550484028285,0.28406945919343246,-1.0719581439848447,782.1824653065705,0.9648247176783002,0.35062699328860025,0.26751084476271786,2.5664370201006505e-14
-1,1587,796.1101069068887,-0.044498283265390993,0.2097742683887931,-1.2552031398387875,794.1101069068887,0.9648412936232618,0.34396641093340086,0.27498992751358464,2.7989859913361573e-15
