lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,1917,875.6617206703646,0.05248479603956581,0.12067194453546684,1.553474606272363,873.6617206703646,0.9673608994864515,0.3854650188958657,0.18560924266255083,3.152126574781109e-08
-9,1918,1007.8723860853135,0.025227578639851575,0.423691363830915,0.8003597772633254,1005.8723860853135,0.9673696922573658,0.32155438354568805,0.1654366274152253,1.2775523352391412e-07
-8,1910,816.5862072858307,0.0369228992797459,0.29195120555193493,1.0545339367228355,814.5862072858307,0.9673704254727534,0.41454578958779614,0.15357852053834206,1.0427684382858136e-05
-7,1919,851.4738986668925,0.041924965516052515,0.22166537028113834,1.2230092724751283,849.4738986668925,0.9673780188063742,0.3983164334705705,0.16137819987352686,2.2105211542890887e-06
-6,1920,1001.5195995168582,0.01114896775220313,0.7245387348802377,0.352498529453847,999.5195995168582,0.9673459658050917,0.3249969342895844,0.1501064327158295,1.8284630120861257e-06
-5,1918,936.0182440919116,0.051262369300853074,0.11704995710440617,1.5687283020625622,934.0182440919116,0.9674059270642174,0.35566237996997235,0.17600218288616756,5.964896956781547e-08
-4,1920,1036.2889059785327,0.02105847349420717,0.4983047306388029,0.6773983539037491,1034.2889059785327,0.9673300197359506,0.3090215508930946,0.1438603391287677,3.3243670901538743e-06
-3,1913,775.4658410580053,0.04671940036702723,0.193732990388736,1.3007454491792647,773.4658410580053,0.9673112034426486,0.4374150345890757,0.14566744907072354,4.668696227313517e-05
-2,1923,883.2066575124468,0.03377515700941718,0.3160435570622004,1.003192128740666,881.2066575124468,0.9673556420710857,0.3830374282173961,0.14519871213533794,1.477636387185303e-05
-1,1920,953.0345814855009,0.006490986578071181,0.8413835669257906,0.20017876929027897,951.0345814855009,0.9673305010148183,0.347932668151065,0.14642006756216466,5.659626468693726e-06
