,voice_rate,voice_rate_time,intensity_mean,voice_score_mean,snr_mean,sfm_mean,noiseRMS_mean,bandRMS_mean,frames,voice_frames,frame_period_s,coverage_s,coverage_rate,voice_seconds
TEMP,-0.20781682560061707,-0.20781682560061707,-0.2077538615543337,-0.618280229447739,-0.6222788678222021,0.6617253242909448,-0.7239655802876565,-0.6718490269192751,0.028354689320974846,-0.20778692998464715,,0.028354689320974846,0.028354689320974846,-0.20778692998464715
HUM,-0.002987321282565247,-0.002987321282565247,-0.002539263084500528,-0.20851229159482867,-0.1914937507603832,0.19067322149286997,-0.18625081950437788,-0.18469757641673612,-0.013353784958897458,-0.003032028571235414,,-0.013353784958897458,-0.013353784958897458,-0.003032028571235414
CO2,0.05463450978172514,0.05463450978172514,0.05560255389692923,0.22127179929130975,0.2427193500380198,-0.15486375504153424,0.19879846787861177,0.2097274191594614,-0.019606887402799103,0.054601653602025325,,-0.019606887402799103,-0.019606887402799103,0.054601653602025325
PRES,0.08859498942407079,0.08859498942407079,0.08867291250460342,0.39651686191329505,0.38350932314297437,-0.4234000990836378,0.48909972176692296,0.4316314368338277,-0.025177614382219302,0.08857035182710252,,-0.025177614382219302,-0.025177614382219302,0.08857035182710252
LLUM,0.2812743381617455,0.2812743381617455,0.2812707613519436,0.7965802848025416,0.7997516665034635,-0.8142071560767487,0.8173921871194366,0.8157204689630895,-0.02469796304930951,0.2812717938159185,,-0.02469796304930951,-0.02469796304930951,0.2812717938159185
PM1,0.11901177740295382,0.11901177740295382,0.11872066042835595,0.39308173247305245,0.38362034947754625,-0.3863398676931426,0.30694520040879064,0.3517027962524463,-0.023998755354708478,0.11900208615995055,,-0.023998755354708478,-0.023998755354708478,0.11900208615995055
PM25,0.14522868930788962,0.14522868930788962,0.14502632284328182,0.4595130392102603,0.45101795699208774,-0.4532201529303782,0.3778655166115799,0.42043928869584446,-0.01940108906387113,0.14522047654634457,,-0.01940108906387113,-0.01940108906387113,0.14522047654634457
PM10,0.14932711428959755,0.14932711428959755,0.14917574849072185,0.4704591501028704,0.461218712366833,-0.46298722157259586,0.38903219611451517,0.4314519844165714,-0.018593228411187268,0.1493206430815087,,-0.018593228411187268,-0.018593228411187268,0.1493206430815087
