air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
HUM,voice_rate,5,6681,0.06154846730972179,4.787406655128786e-07,0.0036954694442084416,2222.5187867318728,0.7527690966091166,0.6652172152522977,0.06154846730972179
HUM,voice_rate,8,6678,0.056631036722623054,3.644608362241206e-06,0.00754177486808399,2224.582923334725,0.7519999270302978,0.6652111866927922,0.056631036722623054
HUM,voice_rate,6,6680,0.056420874448859355,3.9468426977576644e-06,0.007795656355953897,2223.2211087837695,0.7525091085132048,0.6652152063583241,0.056420874448859355
HUM,voice_rate,4,6682,0.05523701700080066,6.246431432436224e-06,0.009206456243901002,2221.8159673459045,0.7530291923348638,0.6652192235207941,0.05523701700080066
HUM,voice_rate,1,6685,0.05317348381359066,1.362451983852892e-05,0.012219885460738981,2219.872525784943,0.7540397446006022,0.6649851047381966,0.05317348381359066
HUM,voice_rate,2,6684,0.05316462643214007,1.3689968915150485e-05,0.012234337465575989,2219.9099148177247,0.7536761646042431,0.6652232381825367,0.05316462643214007
HUM,voice_rate,3,6683,0.05298085003265247,1.4682564320633532e-05,0.012517742192229054,2220.87198795728,0.7533503879554266,0.6652212311641111,0.05298085003265247
HUM,voice_rate,0,6686,0.050820007256371084,3.2194938482979206e-05,0.016683994757593208,2218.054082750601,0.7543802901983392,0.6651656066286247,0.050820007256371084
HUM,voice_rate,7,6679,0.04989360526431777,4.5163788428298114e-05,0.018618104438593283,2223.9040353583996,0.7522540158081359,0.6652131968385895,0.04989360526431777
HUM,voice_rate,10,6676,0.04850760414796868,7.339821534903299e-05,0.022098241309348003,2225.532368957365,0.7515951227076606,0.6652071645218609,0.04850760414796868
HUM,voice_rate,9,6677,0.04759032337645099,0.00010015338045110644,0.024778307214637522,2225.054708145512,0.7517982814633276,0.665209175920649,0.04759032337645099
