,voice_rate,voice_rate_time,intensity_mean,voice_score_mean,snr_mean,sfm_mean,noiseRMS_mean,bandRMS_mean,frames,voice_frames,frame_period_s,coverage_s,coverage_rate,voice_seconds
TEMP,-0.15372059555101203,-0.1537203414946716,-0.12175078391303328,-0.736261253741733,-0.28365201890534864,0.7520106573833655,-0.6879653504190145,-0.5750873097429795,0.04041938389250918,-0.15357199102339247,,0.040409038280477344,0.04040903933092072,-0.153571991215179
HUM,0.05082000725637108,0.05081997521322087,0.04592846587906937,-0.05430296742531809,0.0575094758687592,0.018239954625061696,-0.006629254657558805,0.039302366562551996,-0.03973576012992625,0.05069407634732745,,-0.03974565812408192,-0.03974565755904092,0.05069407737392069
CO2,0.12110871459413357,0.12110879780637682,0.11275129570733959,0.2931050229228816,0.20269470045933086,-0.2444596601517039,0.2579618895407646,0.2653859891394889,-0.02109933674040581,0.1210576862674449,,-0.02110377231491849,-0.021103772198878823,0.12105768586037882
PRES,-0.00173095147136995,-0.0017309734413767615,-0.0021337952369682883,0.05667283997048195,0.00271642433101851,-0.05212466486927514,-0.03485507166072588,-0.03571020424063065,-0.006118488831921109,-0.0017530337946341514,,-0.006117043943591217,-0.006117044098030775,-0.0017530341728599645
LLUM,0.12175266521302304,0.12175259825766113,0.10347409797579085,0.5310896558563469,0.20785979239218483,-0.5242932931701486,0.44968666639825955,0.40061301248336273,-0.021609135455287674,0.1217082505457696,,-0.021607525360048025,-0.02160752509685832,0.1217082511175757
PM1,0.044332398734382036,0.044332492769559174,0.03962763848855593,0.26205112236302575,0.05564210080217393,-0.2700592969338026,0.23193707381135534,0.17121544888893309,0.0031292080341051294,0.04435524377717619,,0.003124885435550749,0.0031248858063283765,0.04435524303897728
PM25,0.04346651945083351,0.043466612707479244,0.03819775819630345,0.2543726246907961,0.05643635443237701,-0.26162670549037964,0.22626356736241662,0.16824715502595966,0.0033556428948846324,0.04348806607420838,,0.0033507542630980347,0.003350754649598797,0.04348806513964975
PM10,0.04194281810935879,0.04194290661407193,0.03665060858981072,0.2491672821796616,0.05527811289744068,-0.25639009328521123,0.22213045361830105,0.1652017292793173,0.003624137680221266,0.04196456576530448,,0.0036193994640463306,0.003619399846624493,0.04196456481322839
