id_sensor,id_parameter,value,created_at
SCD30,TEMP,25.12,2025-08-12 09:57:08
SCD30,HUM,67.73,2025-08-12 09:57:08
SCD30,CO2,1352.56,2025-08-12 09:57:08
ENVIRO,TEMP,2.39,2025-08-12 09:57:10
ENVIRO,HUM,115.7,2025-08-12 09:57:10
ENVIRO,PRES,648.66,2025-08-12 09:57:10
ENVIRO,LLUM,3.21,2025-08-12 09:57:10
SCD30,TEMP,26.99,2025-08-12 10:05:58
SCD30,HUM,63.66,2025-08-12 10:05:58
SCD30,CO2,1512.78,2025-08-12 10:05:58
ENVIRO,TEMP,3.25,2025-08-12 10:06:07
ENVIRO,HUM,115.7,2025-08-12 10:06:07
ENVIRO,PRES,648.66,2025-08-12 10:06:07
ENVIRO,LLUM,1.16,2025-08-12 10:06:07
DHT22,TEMP,18.75,2025-08-12 10:06:25
DHT22,HUM,87.1,2025-08-12 10:06:25
PMS5003,PM1,6.02,2025-08-12 10:06:40
PMS5003,PM25,9.51,2025-08-12 10:06:40
PMS5003,PM10,10.95,2025-08-12 10:06:40
PMS5003,UM03,1103.02,2025-08-12 10:06:40
PMS5003,UM05,302.0,2025-08-12 10:06:40
PMS5003,UM1,56.05,2025-08-12 10:06:40
PMS5003,UM25,5.67,2025-08-12 10:06:40
PMS5003,UM5,2.37,2025-08-12 10:06:40
PMS5003,UM10,0.65,2025-08-12 10:06:40
SCD30,TEMP,25.52,2025-08-12 10:06:59
SCD30,HUM,69.62,2025-08-12 10:06:59
SCD30,CO2,1514.64,2025-08-12 10:06:59
ENVIRO,TEMP,17.4,2025-08-12 10:07:08
ENVIRO,HUM,78.64,2025-08-12 10:07:08
ENVIRO,PRES,1007.17,2025-08-12 10:07:08
ENVIRO,LLUM,2.33,2025-08-12 10:07:08
DHT22,TEMP,18.95,2025-08-12 10:07:27
DHT22,HUM,85.6,2025-08-12 10:07:27
SCD30,TEMP,24.59,2025-08-12 10:08:00
SCD30,HUM,73.37,2025-08-12 10:08:00
SCD30,CO2,1508.67,2025-08-12 10:08:00
ENVIRO,TEMP,18.55,2025-08-12 10:08:09
ENVIRO,HUM,76.9,2025-08-12 10:08:09
ENVIRO,PRES,1007.13,2025-08-12 10:08:09
ENVIRO,LLUM,1.16,2025-08-12 10:08:09
PMS5003,PM1,3.48,2025-08-12 10:08:22
PMS5003,PM25,6.2,2025-08-12 10:08:22
PMS5003,PM10,7.2,2025-08-12 10:08:22
PMS5003,UM03,791.86,2025-08-12 10:08:22
PMS5003,UM05,230.18,2025-08-12 10:08:22
PMS5003,UM1,43.73,2025-08-12 10:08:22
PMS5003,UM25,0.82,2025-08-12 10:08:22
PMS5003,UM5,0.0,2025-08-12 10:08:22
PMS5003,UM10,0.0,2025-08-12 10:08:22
DHT22,TEMP,19.25,2025-08-12 10:08:28
DHT22,HUM,85.2,2025-08-12 10:08:28
SCD30,TEMP,23.99,2025-08-12 10:09:01
SCD30,HUM,76.93,2025-08-12 10:09:01
SCD30,CO2,1522.72,2025-08-12 10:09:01
ENVIRO,TEMP,19.26,2025-08-12 10:09:10
ENVIRO,HUM,75.21,2025-08-12 10:09:10
ENVIRO,PRES,1007.15,2025-08-12 10:09:10
ENVIRO,LLUM,2.33,2025-08-12 10:09:10
DHT22,TEMP,19.55,2025-08-12 10:09:29
DHT22,HUM,84.3,2025-08-12 10:09:29
SCD30,TEMP,23.63,2025-08-12 10:10:02
SCD30,HUM,77.31,2025-08-12 10:10:02
SCD30,CO2,1524.6,2025-08-12 10:10:02
PMS5003,PM1,6.11,2025-08-12 10:10:03
PMS5003,PM25,10.25,2025-08-12 10:10:03
PMS5003,PM10,10.25,2025-08-12 10:10:03
PMS5003,UM03,1135.23,2025-08-12 10:10:03
PMS5003,UM05,294.36,2025-08-12 10:10:03
PMS5003,UM1,59.59,2025-08-12 10:10:03
PMS5003,UM25,2.36,2025-08-12 10:10:03
PMS5003,UM5,0.0,2025-08-12 10:10:03
PMS5003,UM10,0.0,2025-08-12 10:10:03
ENVIRO,TEMP,19.57,2025-08-12 10:10:11
ENVIRO,HUM,73.79,2025-08-12 10:10:11
ENVIRO,PRES,1007.15,2025-08-12 10:10:11
ENVIRO,LLUM,2.33,2025-08-12 10:10:11
DHT22,TEMP,19.75,2025-08-12 10:10:31
DHT22,HUM,83.6,2025-08-12 10:10:31
SCD30,TEMP,23.39,2025-08-12 10:11:03
SCD30,HUM,79.35,2025-08-12 10:11:03
SCD30,CO2,1536.43,2025-08-12 10:11:03
ENVIRO,TEMP,20.22,2025-08-12 10:11:12
ENVIRO,HUM,72.96,2025-08-12 10:11:12
ENVIRO,PRES,1007.08,2025-08-12 10:11:12
ENVIRO,LLUM,2.33,2025-08-12 10:11:12
DHT22,TEMP,20.05,2025-08-12 10:11:32
DHT22,HUM,82.9,2025-08-12 10:11:32
PMS5003,PM1,4.75,2025-08-12 10:11:45
PMS5003,PM25,7.23,2025-08-12 10:11:45
PMS5003,PM10,7.64,2025-08-12 10:11:45
PMS5003,UM03,889.64,2025-08-12 10:11:45
PMS5003,UM05,271.32,2025-08-12 10:11:45
PMS5003,UM1,38.95,2025-08-12 10:11:45
PMS5003,UM25,0.91,2025-08-12 10:11:45
PMS5003,UM5,0.82,2025-08-12 10:11:45
PMS5003,UM10,0.0,2025-08-12 10:11:45
SCD30,TEMP,23.29,2025-08-12 10:12:04
SCD30,HUM,79.62,2025-08-12 10:12:04
SCD30,CO2,1537.73,2025-08-12 10:12:04
ENVIRO,TEMP,20.4,2025-08-12 10:12:13
ENVIRO,HUM,71.45,2025-08-12 10:12:13
ENVIRO,PRES,1007.1,2025-08-12 10:12:13
ENVIRO,LLUM,2.33,2025-08-12 10:12:13
DHT22,TEMP,20.25,2025-08-12 10:12:33
DHT22,HUM,82.2,2025-08-12 10:12:33
SCD30,TEMP,23.28,2025-08-12 10:13:05
SCD30,HUM,78.82,2025-08-12 10:13:05
SCD30,CO2,1547.05,2025-08-12 10:13:05
ENVIRO,TEMP,21.34,2025-08-12 10:13:14
ENVIRO,HUM,71.16,2025-08-12 10:13:14
ENVIRO,PRES,1007.08,2025-08-12 10:13:14
ENVIRO,LLUM,2.33,2025-08-12 10:13:14
PMS5003,PM1,4.68,2025-08-12 10:13:27
PMS5003,PM25,6.11,2025-08-12 10:13:27
PMS5003,PM10,6.11,2025-08-12 10:13:27
PMS5003,UM03,777.27,2025-08-12 10:13:27
PMS5003,UM05,245.05,2025-08-12 10:13:27
PMS5003,UM1,24.86,2025-08-12 10:13:27
PMS5003,UM25,0.09,2025-08-12 10:13:27
PMS5003,UM5,0.0,2025-08-12 10:13:27
PMS5003,UM10,0.0,2025-08-12 10:13:27
DHT22,TEMP,20.55,2025-08-12 10:13:34
DHT22,HUM,82.0,2025-08-12 10:13:34
SCD30,TEMP,23.34,2025-08-12 10:14:06
SCD30,HUM,80.85,2025-08-12 10:14:06
SCD30,CO2,1561.34,2025-08-12 10:14:06
ENVIRO,TEMP,21.63,2025-08-12 10:14:15
ENVIRO,HUM,70.59,2025-08-12 10:14:15
ENVIRO,PRES,1007.06,2025-08-12 10:14:15
ENVIRO,LLUM,1.16,2025-08-12 10:14:15
DHT22,TEMP,20.85,2025-08-12 10:14:36
DHT22,HUM,81.4,2025-08-12 10:14:36
SCD30,TEMP,23.46,2025-08-12 10:15:08
SCD30,HUM,79.31,2025-08-12 10:15:08
SCD30,CO2,1573.67,2025-08-12 10:15:08
PMS5003,PM1,5.25,2025-08-12 10:15:08
PMS5003,PM25,8.82,2025-08-12 10:15:08
PMS5003,PM10,8.82,2025-08-12 10:15:08
PMS5003,UM03,939.27,2025-08-12 10:15:08
PMS5003,UM05,269.68,2025-08-12 10:15:08
PMS5003,UM1,57.09,2025-08-12 10:15:08
PMS5003,UM25,2.91,2025-08-12 10:15:08
PMS5003,UM5,0.0,2025-08-12 10:15:08
PMS5003,UM10,0.0,2025-08-12 10:15:08
ENVIRO,TEMP,21.49,2025-08-12 10:15:16
ENVIRO,HUM,69.58,2025-08-12 10:15:16
ENVIRO,PRES,1007.06,2025-08-12 10:15:16
ENVIRO,LLUM,2.33,2025-08-12 10:15:16
DHT22,TEMP,21.05,2025-08-12 10:15:37
DHT22,HUM,80.4,2025-08-12 10:15:37
SCD30,TEMP,23.59,2025-08-12 10:16:09
SCD30,HUM,79.04,2025-08-12 10:16:09
SCD30,CO2,1580.89,2025-08-12 10:16:09
ENVIRO,TEMP,21.47,2025-08-12 10:16:17
ENVIRO,HUM,68.66,2025-08-12 10:16:17
ENVIRO,PRES,1007.06,2025-08-12 10:16:17
ENVIRO,LLUM,2.33,2025-08-12 10:16:17
DHT22,TEMP,21.15,2025-08-12 10:16:38
DHT22,HUM,79.9,2025-08-12 10:16:38
PMS5003,PM1,4.36,2025-08-12 10:16:50
PMS5003,PM25,7.11,2025-08-12 10:16:50
PMS5003,PM10,7.11,2025-08-12 10:16:50
PMS5003,UM03,920.73,2025-08-12 10:16:50
PMS5003,UM05,264.05,2025-08-12 10:16:50
PMS5003,UM1,38.05,2025-08-12 10:16:50
PMS5003,UM25,0.0,2025-08-12 10:16:50
PMS5003,UM5,0.0,2025-08-12 10:16:50
PMS5003,UM10,0.0,2025-08-12 10:16:50
SCD30,TEMP,23.66,2025-08-12 10:17:10
SCD30,HUM,77.17,2025-08-12 10:17:10
SCD30,CO2,1586.24,2025-08-12 10:17:10
ENVIRO,TEMP,22.21,2025-08-12 10:17:18
ENVIRO,HUM,68.09,2025-08-12 10:17:18
ENVIRO,PRES,1007.03,2025-08-12 10:17:18
ENVIRO,LLUM,2.33,2025-08-12 10:17:18
DHT22,TEMP,21.25,2025-08-12 10:17:39
DHT22,HUM,79.5,2025-08-12 10:17:39
SCD30,TEMP,23.82,2025-08-12 10:18:11
SCD30,HUM,77.63,2025-08-12 10:18:11
SCD30,CO2,1590.96,2025-08-12 10:18:11
ENVIRO,TEMP,22.32,2025-08-12 10:18:19
ENVIRO,HUM,67.92,2025-08-12 10:18:19
ENVIRO,PRES,1007.05,2025-08-12 10:18:19
ENVIRO,LLUM,2.33,2025-08-12 10:18:19
PMS5003,PM1,4.3,2025-08-12 10:18:32
PMS5003,PM25,7.14,2025-08-12 10:18:32
PMS5003,PM10,7.14,2025-08-12 10:18:32
PMS5003,UM03,840.55,2025-08-12 10:18:32
PMS5003,UM05,238.95,2025-08-12 10:18:32
PMS5003,UM1,45.32,2025-08-12 10:18:32
PMS5003,UM25,0.68,2025-08-12 10:18:32
PMS5003,UM5,0.0,2025-08-12 10:18:32
PMS5003,UM10,0.0,2025-08-12 10:18:32
DHT22,TEMP,21.45,2025-08-12 10:18:41
DHT22,HUM,79.0,2025-08-12 10:18:41
SCD30,TEMP,23.92,2025-08-12 10:19:12
SCD30,HUM,76.5,2025-08-12 10:19:12
SCD30,CO2,1598.45,2025-08-12 10:19:12
ENVIRO,TEMP,22.4,2025-08-12 10:19:21
ENVIRO,HUM,67.19,2025-08-12 10:19:21
ENVIRO,PRES,1007.08,2025-08-12 10:19:21
ENVIRO,LLUM,1.16,2025-08-12 10:19:21
DHT22,TEMP,21.55,2025-08-12 10:19:42
DHT22,HUM,78.5,2025-08-12 10:19:42
SCD30,TEMP,24.08,2025-08-12 10:20:13
SCD30,HUM,75.74,2025-08-12 10:20:13
SCD30,CO2,1604.49,2025-08-12 10:20:13
PMS5003,PM1,5.66,2025-08-12 10:20:13
PMS5003,PM25,8.82,2025-08-12 10:20:13
PMS5003,PM10,9.18,2025-08-12 10:20:13
PMS5003,UM03,1017.68,2025-08-12 10:20:13
PMS5003,UM05,290.0,2025-08-12 10:20:13
PMS5003,UM1,48.14,2025-08-12 10:20:13
PMS5003,UM25,3.95,2025-08-12 10:20:13
PMS5003,UM5,0.73,2025-08-12 10:20:13
PMS5003,UM10,0.0,2025-08-12 10:20:13
ENVIRO,TEMP,23.08,2025-08-12 10:20:22
ENVIRO,HUM,66.64,2025-08-12 10:20:22
ENVIRO,PRES,1007.09,2025-08-12 10:20:22
ENVIRO,LLUM,2.33,2025-08-12 10:20:22
DHT22,TEMP,21.65,2025-08-12 10:20:43
DHT22,HUM,78.3,2025-08-12 10:20:43
