air_var,noise_var,alt,H0,H1,best_lag_min,N,Neff,rho1_air,rho1_noise,pearson_r,p_two_sided,p_two_sided_adj,p_one_sided_gt,p_one_sided_gt_adj
CO2,voice_rate,greater,"During/after speaking, CO2 does not increase vs silent presence (Δ≤0)","During/after speaking, CO2 increases vs silent presence (Δ>0)",10,1356,652.990930997504,0.9982826206533854,0.3505334287022628,0.051172355656165444,0.05958358061855313,0.19155193740776894,0.029791790309276565,0.09577596870388447
PM1,voice_rate,greater,"During/after speaking, PM1 does not increase vs silent presence (Δ≤0)","During/after speaking, PM1 increases vs silent presence (Δ>0)",0,820,511.06862735643995,0.951200271082382,0.24399987353884606,0.02330021074646204,0.5052263059874899,0.5992426498449402,0.2526131529937449,0.2996213249224701
PM25,voice_rate,greater,"During/after speaking, PM25 does not increase vs silent presence (Δ≤0)","During/after speaking, PM25 increases vs silent presence (Δ>0)",0,820,512.8007835007377,0.9446376761522386,0.24399987353884606,0.024687011005408644,0.4802144979170943,0.576933440748713,0.24010724895854715,0.2884667203743565
PM10,voice_rate,greater,"During/after speaking, PM10 does not increase vs silent presence (Δ≤0)","During/after speaking, PM10 increases vs silent presence (Δ>0)",0,820,514.0243961912482,0.9400120640766015,0.24399987353884606,0.024841443988108513,0.4774715065510118,0.5741773159580045,0.2387357532755059,0.28708865797900224
HUM,voice_rate,greater,"During/after speaking, HUM does not increase vs silent presence (Δ≤0)","During/after speaking, HUM increases vs silent presence (Δ>0)",10,1380,737.103277425011,0.8562947831222364,0.3546303242666481,0.12707610958927973,2.184077489291802e-06,0.0005441970658145903,1.092038744645901e-06,0.00027209853290729514
TEMP,voice_rate,greater,"During/after speaking, TEMP does not increase vs silent presence (Δ≤0)","During/after speaking, TEMP increases vs silent presence (Δ>0)",9,1381,708.708921098237,0.9845913191699959,0.32674996457693534,-0.04664307893156891,0.083146398054064,0.21480842976096923,0.958426800972968,0.8925957851195154
dCO2,voice_rate,greater,"During/after speaking, CO2 change rate does not increase vs silent presence (Δ≤0)","During/after speaking, CO2 change rate increases vs silent presence (Δ>0)",7,1335,908.1723926081239,0.6067026624309713,0.3136273654585092,0.06800953465363373,0.01293844669590141,0.040473507816440414,0.006469223347950705,0.020236753908220207
