date,start_local,end_local,duration_min,start_margin_local,end_margin_local,margin_min
2025-08-12,2025-08-12T10:17:00+02:00,2025-08-12T22:59:00+02:00,763,2025-08-12T09:47:00+02:00,2025-08-12T23:29:00+02:00,30
2025-08-13,2025-08-13T09:42:00+02:00,2025-08-13T12:26:00+02:00,165,2025-08-13T09:12:00+02:00,2025-08-13T12:56:00+02:00,30
2025-08-14,2025-08-14T11:04:00+02:00,2025-08-14T17:31:00+02:00,388,2025-08-14T10:34:00+02:00,2025-08-14T18:01:00+02:00,30
